name,latitude,longitude,rating,number_of_reviews,affluence
Hajir Biryani,22.5811645,89.96874090000001,3.5,2.0,
Hotel Rose Garden,22.5786795,89.96858359999999,3.8,81.0,$
Subroto Babu,22.593096399999997,89.98060859999998,5.0,1.0,
Dilip sarban's house,22.5839942,89.97088189999998,5.0,2.0,
Hotel Abbas,22.5790358,89.98009829999998,3.7,7.0,
Satota store,22.5804887,89.9687902,3.3,3.0,
Cafe Al Madina,22.579390399999998,89.97916499999998,3.6,71.0,
Hotel Apyayon,22.579483800000002,89.9696428,3.5,31.0,$
Vai Vai Hotel & Restaurant,22.579351000000003,89.97962290000001,3.5,11.0,
Naznin's Cake and Bake House,22.5768956,89.97063790000001,5.0,3.0,
মা রেষ্টুরেন্ট এন্ড ভেরাইটিজ,22.4816033,89.957385,0.0,,
Cafe Sabur - ক্যাফে সবুর,22.4668644,89.9472607,4.5,2.0,
Nawab Chinese Restaurant and Party Center,23.8659127,91.2061873,4.4,50.0,$
"Green Chilli Chinese Restaurant, Akhaura",23.8733854,91.2099531,4.0,146.0,
ইমনের ফাস্টফুড এন্ড রেস্টুরেন্ট,23.8649764,91.20607240000001,0.0,,
বাশেঁর কৌটা চায়নিজ রেস্টুরেন্টে এন্ড কফি হাউস,23.8667752,91.1984884,4.4,13.0,
রুহুল আমিন রেষ্টুরেন্ট,23.8652962,91.2117007,5.0,3.0,
Naiyor Cafe & Restaurant,23.867309,91.209113,4.0,62.0,
লোকমানের মালাই দুধের চা এর দোকান,23.8852026,91.2146732,1.0,1.0,
Nine Star Hotel,23.8675247,91.2077901,3.5,151.0,$$
আহার বিরিয়ানি হাউজ এন্ড জুস কর্নার,24.0414786,91.00631240000001,4.3,28.0,
Venice Bangla Restaurent & Pizza King,24.044895,90.9875318,4.0,331.0,
কাশ্মীর শরবত হাউজ,24.010565,91.00354860000002,0.0,,
"Dawat Cafe and restaurant , Ashuganj",24.0277383,90.9964085,5.0,5.0,
পড়ন্ত বেলার রেস্টুরেন্ট এন্ড কমিউনিটি সেন্টার,24.044178,90.9856571,5.0,1.0,
আশুগঞ্জ,24.0272581,90.99722120000001,3.5,2.0,
Jaitun Hotel And Restaurant জাইতুন হোটেল এন্ড রেস্টুরেন্ট,24.043954100000004,91.0089288,3.8,81.0,
আইয়ুব আলীর ভর্তা বাড়ি এন্ডচটপটি হাউজ২,24.0414096,91.0046911,3.3,6.0,
রিভারভিউ রেস্টুরেন্ট এন্ড ক্যাফে,24.0403177,90.98644509999998,5.0,4.0,
FoodBuzz Cafe,24.0423458,91.00518520000001,4.4,39.0,
Mattam Al-Arabian Restaurant (মাতাম আল-এ্যারাবিয়ান রেস্টুরেন্ট),24.0361117,91.00883509999998,3.0,2.0,
Akhi,24.0359405,90.9998631,0.0,,
খাজা স্টোর,24.0288085,91.006462,5.0,2.0,
APSCL North South Canteen,24.0389572,91.0071061,5.0,3.0,
Bagair Food and Cafe,24.0277383,90.9964085,0.0,,
Matham Al-Arabian,24.0362922,91.0087957,5.0,2.0,
Jagannath Restaurant,24.0437353,90.9868906,4.2,12.0,
ফুড ভিলেজ এন্ড ক্যাফে,24.013136499999998,91.0012166,4.1,8.0,
Nanna Biriyani house.bhairab bazar,24.045504100000002,90.9868471,5.0,1.0,
Gg,24.038142999999998,91.001646,0.0,,
Nandan Fast Food & Cake House,24.0424651,91.0062401,3.0,7.0,
বারাকাল্লাহ্ হোটেল এন্ড রেস্টুরেন্ট,24.0423578,91.0066848,0.0,,
Venice Bangla Restaurant and Pizza King,24.041896899999998,91.0052064,4.1,94.0,$$
Venice Bangla Reasturant & pizza king,24.0277383,90.9964085,5.0,1.0,
Fast Food restaurant,24.0277383,90.9964085,0.0,,
Grand Mughal Restaurant,24.0447092,90.9852365,3.6,42.0,
Takeaway,24.0466624,90.9863679,5.0,2.0,
জুনায়েদ চানপুর,24.044178,90.9856571,0.0,,
নাঈম বিরিয়ানি হাউজ,24.0101996,91.0047049,3.8,4.0,
Hotel Radhuni - হোটেল রাঁধুণী,24.0423357,91.0059102,4.2,14.0,
Parvez Tea Stall,24.0384085,91.0018548,5.0,2.0,
Nirala Hotel,24.0428869,90.9885186,2.8,4.0,
জুনায়েদ ভৈরব,24.044178,90.9856571,0.0,,
কফি হাউস,24.036749800000003,91.01054029999999,5.0,1.0,
মায়ের দোয়া রেস্টুরেন্ট এন্ড ভাতঘর,24.0301638,91.0063994,1.0,1.0,
নান্না বিরিয়ানি হাউজ,24.0450556,90.9875868,3.6,9.0,
Diya Moni Hotel And Rasturand,24.039243399999997,91.0023622,3.4,8.0,
নয়াহাটি মোহাম্মদ মোড,24.044178,90.9856571,0.0,,
বাদশা,24.044178,90.9856571,0.0,,
Hotel Dhanshiri,24.0377557,91.0057179,3.7,189.0,$
APSCL Canteen,24.0440893,91.01609920000001,0.0,,
Hotel Ahad,24.0443423,90.9882376,1.0,1.0,
"Brothers and sisters, Restaurants",24.0458908,90.9869993,3.8,33.0,
Razzak Store,24.0445497,90.9865458,0.0,,
